#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Dec 15 15:31:31 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       FilterTest_Syn_map.ncd
#OUTPUT FILE:      FilterTest_Syn_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -1
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C12,FF2<7>,IOB,IO_L3P_T0_DQS_AD1P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C13,,,VCCO_15,,,15,,,,,1.80,,,,
C14,MInput9<2>,IOB,IO_L1N_T0_AD0N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C15,FF6<1>,IOB,IO_L12N_T1_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C16,FF1<7>,IOB,IO_L20P_T3_A20_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C17,MInput6<0>,IOB,IO_L20N_T3_A19_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C18,,,GND,,,,,,,,,,,,
D1,,,GND,,,,,,,,,,,,
D2,Output<0>,IOB,IO_L14N_T2_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D3,Output<1>,IOB,IO_L12N_T1_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D4,MInput8<1>,IOB,IO_L11N_T1_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D5,CLK,IOB,IO_L11P_T1_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D6,,,VCCO_35,,,35,,,,,1.80,,,,
D7,FF7<2>,IOB,IO_L6N_T0_VREF_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D8,FF9<1>,IOB,IO_L4P_T0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D9,,IOB33S,IO_L6N_T0_VREF_16,UNUSED,,16,,,,,,,,,
D10,,IOB33S,IO_L19N_T3_VREF_16,UNUSED,,16,,,,,,,,,
D11,,,GND,,,,,,,,,,,,
D12,FF9<7>,IOB,IO_L6P_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D13,FF5<2>,IOB,IO_L6N_T0_VREF_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D14,MInput9<1>,IOB,IO_L1P_T0_AD0P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D15,MInput5<0>,IOB,IO_L12P_T1_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D16,,,VCCO_15,,,15,,,,,1.80,,,,
D17,FF1<4>,IOB,IO_L16N_T2_A27_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D18,MInput6<2>,IOB,IO_L21N_T3_DQS_A18_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E1,MInput2<1>,IOB,IO_L18N_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E2,FF7<7>,IOB,IO_L14P_T2_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E3,FF7<3>,IOB,IO_L12P_T1_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E4,,,GND,,,,,,,,,,,,
E5,MInput8<0>,IOB,IO_L5N_T0_AD13N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E6,FF8<1>,IOB,IO_L5P_T0_AD13P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E7,FF8<3>,IOB,IO_L6P_T0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E8,,,VCCBATT_0,,,,,,,,,,,,
E9,,,CCLK_0,,,,,,,,,,,,
E10,,,TCK_0,,,,,,,,,,,,
E11,,,TDI_0,,,,,,,,,,,,
E12,,,TMS_0,,,,,,,,,,,,
E13,,,TDO_0,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,FF7<5>,IOB,IO_L11P_T1_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E16,FF5<7>,IOB,IO_L11N_T1_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E17,MInput5<2>,IOB,IO_L16P_T2_A28_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E18,MInput6<1>,IOB,IO_L21P_T3_DQS_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F1,MInput1<2>,IOB,IO_L18P_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F2,,,VCCO_35,,,35,,,,,1.80,,,,
F3,Output<3>,IOB,IO_L13N_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F4,Output<2>,IOB,IO_L13P_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F5,MInput8<3>,IOB,IO_0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F6,MInput2<0>,IOB,IO_L19N_T3_VREF_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F7,,,GND,,,,,,,,,,,,
F8,,,VCCINT,,,,,,,,1.0,,,,
F9,,,GND,,,,,,,,,,,,
F10,,,VCCBRAM,,,,,,,,,,,,
F11,,,GND,,,,,,,,,,,,
F12,,,VCCAUX,,,,,,,,1.8,,,,
F13,FF9<5>,IOB,IO_L5P_T0_AD9P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F14,FF5<0>,IOB,IO_L5N_T0_AD9N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F15,FF6<6>,IOB,IO_L14P_T2_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F16,FF6<5>,IOB,IO_L14N_T2_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
F17,,,GND,,,,,,,,,,,,
F18,FF2<0>,IOB,IO_L22N_T3_A16_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G1,MInput1<1>,IOB,IO_L17N_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G2,Output<4>,IOB,IO_L15N_T2_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G3,MInput5<1>,IOB,IO_L20N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G4,MInput3<1>,IOB,IO_L20P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G5,,,VCCO_35,,,35,,,,,1.80,,,,
G6,MInput3<2>,IOB,IO_L19P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G7,,,VCCINT,,,,,,,,1.0,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.0,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCBRAM,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,MInput7<3>,IOB,IO_0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G14,FF6<2>,IOB,IO_L15N_T2_DQS_ADV_B_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G15,,,VCCO_15,,,15,,,,,1.80,,,,
G16,FF6<7>,IOB,IO_L13N_T2_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G17,FF1<0>,IOB,IO_L18N_T2_A23_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
G18,FF2<5>,IOB,IO_L22P_T3_A17_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H1,MInput2<2>,IOB,IO_L17P_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H2,Output<5>,IOB,IO_L15P_T2_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,,,GND,,,,,,,,,,,,
H4,MInput3<0>,IOB,IO_L21N_T3_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H5,FF4<0>,IOB,IO_L24N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H6,MInput2<3>,IOB,IO_L24P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.0,,,,
H9,,,GNDADC_0,,,,,,,,,,,,
H10,,,VCCADC_0,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCAUX,,,,,,,,1.8,,,,
H13,,,GND,,,,,,,,,,,,
H14,FF6<3>,IOB,IO_L15P_T2_DQS_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H15,FF1<6>,IOB,IO_L19N_T3_A21_VREF_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H16,FF6<4>,IOB,IO_L13P_T2_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H17,FF1<3>,IOB,IO_L18P_T2_A24_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
H18,,,VCCO_15,,,15,,,,,1.80,,,,
J1,,,VCCO_35,,,35,,,,,1.80,,,,
J2,FF4<5>,IOB,IO_L22N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J3,MInput1<0>,IOB,IO_L22P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J4,MInput4<1>,IOB,IO_L21P_T3_DQS_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J5,MInput4<2>,IOB,IO_25_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
J6,,,GND,,,,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.0,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VREFN_0,,,,,,,,,,,,
J10,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
J11,,,VCCINT,,,,,,,,1.0,,,,
J12,,,GND,,,,,,,,,,,,
J13,FF1<2>,IOB,IO_L17N_T2_A25_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J14,FF1<5>,IOB,IO_L19P_T3_A22_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J15,FF2<4>,IOB,IO_L24N_T3_RS0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J16,,,GND,,,,,,,,,,,,
J17,FF2<1>,IOB,IO_L23P_T3_FOE_B_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
J18,FF2<2>,IOB,IO_L23N_T3_FWE_B_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K1,MInput4<0>,IOB,IO_L23N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
K2,FF4<1>,IOB,IO_L23P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
K3,FF4<2>,IOB,IO_L2P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K4,,,VCCO_34,,,34,,,,,1.80,,,,
K5,FF3<7>,IOB,IO_L5P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K6,FF3<0>,IOB,IO_0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.0,,,,
K9,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
K10,,,VREFP_0,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,,VCCAUX,,,,,,,,1.8,,,,
K13,FF1<1>,IOB,IO_L17P_T2_A26_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K14,,,VCCO_15,,,15,,,,,1.80,,,,
K15,FF2<3>,IOB,IO_L24P_T3_RS1_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K16,MInput6<3>,IOB,IO_25_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
K17,,IOB33M,IO_L1P_T0_D00_MOSI_14,UNUSED,,14,,,,,,,,,
K18,,IOB33S,IO_L1N_T0_D01_DIN_14,UNUSED,,14,,,,,,,,,
L1,MInput3<3>,IOB,IO_L1P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
L2,,,GND,,,,,,,,,,,,
L3,FF4<3>,IOB,IO_L2N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
L4,FF3<1>,IOB,IO_L5N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
L5,FF3<3>,IOB,IO_L6N_T0_VREF_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
L6,FF3<2>,IOB,IO_L6P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
L7,,,VCCINT,,,,,,,,1.0,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,DXN_0,,,,,,,,,,,,
L10,,,DXP_0,,,,,,,,,,,,
L11,,,VCCINT,,,,,,,,1.0,,,,
L12,,,GND,,,,,,,,,,,,
L13,,IOB33M,IO_L6P_T0_FCS_B_14,UNUSED,,14,,,,,,,,,
L14,,IOB33M,IO_L2P_T0_D02_14,UNUSED,,14,,,,,,,,,
L15,,IOB33M,IO_L3P_T0_DQS_PUDC_B_14,UNUSED,,14,,,,,,,,,
L16,,IOB33S,IO_L3N_T0_DQS_EMCCLK_14,UNUSED,,14,,,,,,,,,
L17,,,VCCO_14,,,14,,,,,any******,,,,
L18,,IOB33M,IO_L4P_T0_D04_14,UNUSED,,14,,,,,,,,,
M1,FF4<4>,IOB,IO_L1N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M2,FF4<7>,IOB,IO_L4N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M3,FF4<6>,IOB,IO_L4P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M4,,IOB33M,IO_L16P_T2_34,UNUSED,,34,,,,,,,,,
M5,,,GND,,,,,,,,,,,,
M6,,IOB33M,IO_L18P_T2_34,UNUSED,,34,,,,,,,,,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCINT,,,,,,,,1.0,,,,
M9,,,GND,,,,,,,,,,,,
M10,,,VCCINT,,,,,,,,1.0,,,,
M11,,,GND,,,,,,,,,,,,
M12,,,VCCAUX,,,,,,,,1.8,,,,
M13,,IOB33S,IO_L6N_T0_D08_VREF_14,UNUSED,,14,,,,,,,,,
M14,,IOB33S,IO_L2N_T0_D03_14,UNUSED,,14,,,,,,,,,
M15,,,GND,,,,,,,,,,,,
M16,,IOB33M,IO_L10P_T1_D14_14,UNUSED,,14,,,,,,,,,
M17,,IOB33S,IO_L10N_T1_D15_14,UNUSED,,14,,,,,,,,,
M18,,IOB33S,IO_L4N_T0_D05_14,UNUSED,,14,,,,,,,,,
N1,MInput1<3>,IOB,IO_L3N_T0_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N2,MInput5<3>,IOB,IO_L3P_T0_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
N3,,,VCCO_34,,,34,,,,,1.80,,,,
N4,,IOB33S,IO_L16N_T2_34,UNUSED,,34,,,,,,,,,
N5,,IOB33M,IO_L13P_T2_MRCC_34,UNUSED,,34,,,,,,,,,
N6,,IOB33S,IO_L18N_T2_34,UNUSED,,34,,,,,,,,,
N7,,,VCCINT,,,,,,,,1.0,,,,
N8,,,GND,,,,,,,,,,,,
N9,,,VCCINT,,,,,,,,1.0,,,,
N10,,,GND,,,,,,,,,,,,
N11,,,VCCINT,,,,,,,,1.0,,,,
N12,,,GND,,,,,,,,,,,,
N13,,,VCCO_14,,,14,,,,,any******,,,,
N14,,IOB33M,IO_L8P_T1_D11_14,UNUSED,,14,,,,,,,,,
N15,,IOB33M,IO_L11P_T1_SRCC_14,UNUSED,,14,,,,,,,,,
N16,,IOB33S,IO_L11N_T1_SRCC_14,UNUSED,,14,,,,,,,,,
N17,,IOB33M,IO_L9P_T1_DQS_14,UNUSED,,14,,,,,,,,,
N18,,,GND,,,,,,,,,,,,
P1,,,GND,,,,,,,,,,,,
P2,,IOB33M,IO_L15P_T2_DQS_34,UNUSED,,34,,,,,,,,,
P3,,IOB33S,IO_L14N_T2_SRCC_34,UNUSED,,34,,,,,,,,,
P4,,IOB33M,IO_L14P_T2_SRCC_34,UNUSED,,34,,,,,,,,,
P5,,IOB33S,IO_L13N_T2_MRCC_34,UNUSED,,34,,,,,,,,,
P6,,,VCCO_34,,,34,,,,,1.80,,,,
P7,,,INIT_B_0,,,,,,,,,,,,
P8,,,CFGBVS_0,,,,,,,,,,,,
P9,,,PROGRAM_B_0,,,,,,,,,,,,
P10,,,DONE_0,,,,,,,,,,,,
P11,,,M2_0,,,,,,,,,,,,
P12,,,M0_0,,,,,,,,,,,,
P13,,,M1_0,,,,,,,,,,,,
P14,,IOB33S,IO_L8N_T1_D12_14,UNUSED,,14,,,,,,,,,
P15,,IOB33M,IO_L13P_T2_MRCC_14,UNUSED,,14,,,,,,,,,
P16,,,VCCO_14,,,14,,,,,any******,,,,
P17,,IOB33M,IO_L12P_T1_MRCC_14,UNUSED,,14,,,,,,,,,
P18,,IOB33S,IO_L9N_T1_DQS_D13_14,UNUSED,,14,,,,,,,,,
R1,,IOB33M,IO_L17P_T2_34,UNUSED,,34,,,,,,,,,
R2,,IOB33S,IO_L15N_T2_DQS_34,UNUSED,,34,,,,,,,,,
R3,,IOB33M,IO_L11P_T1_SRCC_34,UNUSED,,34,,,,,,,,,
R4,,,GND,,,,,,,,,,,,
R5,,IOB33S,IO_L19N_T3_VREF_34,UNUSED,,34,,,,,,,,,
R6,,IOB33M,IO_L19P_T3_34,UNUSED,,34,,,,,,,,,
R7,,IOB33M,IO_L23P_T3_34,UNUSED,,34,,,,,,,,,
R8,,IOB33M,IO_L24P_T3_34,UNUSED,,34,,,,,,,,,
R9,,,VCCO_0,,,0,,,,,any******,,,,
R10,,IOB33,IO_25_14,UNUSED,,14,,,,,,,,,
R11,,IOB33,IO_0_14,UNUSED,,14,,,,,,,,,
R12,,IOB33M,IO_L5P_T0_D06_14,UNUSED,,14,,,,,,,,,
R13,,IOB33S,IO_L5N_T0_D07_14,UNUSED,,14,,,,,,,,,
R14,,,GND,,,,,,,,,,,,
R15,,IOB33S,IO_L13N_T2_MRCC_14,UNUSED,,14,,,,,,,,,
R16,,IOB33M,IO_L15P_T2_DQS_RDWR_B_14,UNUSED,,14,,,,,,,,,
R17,,IOB33S,IO_L12N_T1_MRCC_14,UNUSED,,14,,,,,,,,,
R18,,IOB33M,IO_L7P_T1_D09_14,UNUSED,,14,,,,,,,,,
T1,,IOB33S,IO_L17N_T2_34,UNUSED,,34,,,,,,,,,
T2,,,VCCO_34,,,34,,,,,1.80,,,,
T3,,IOB33S,IO_L11N_T1_SRCC_34,UNUSED,,34,,,,,,,,,
T4,,IOB33S,IO_L12N_T1_MRCC_34,UNUSED,,34,,,,,,,,,
T5,,IOB33M,IO_L12P_T1_MRCC_34,UNUSED,,34,,,,,,,,,
T6,,IOB33S,IO_L23N_T3_34,UNUSED,,34,,,,,,,,,
T7,,,GND,,,,,,,,,,,,
T8,,IOB33S,IO_L24N_T3_34,UNUSED,,34,,,,,,,,,
T9,,IOB33M,IO_L24P_T3_A01_D17_14,UNUSED,,14,,,,,,,,,
T10,,IOB33S,IO_L24N_T3_A00_D16_14,UNUSED,,14,,,,,,,,,
T11,,IOB33M,IO_L19P_T3_A10_D26_14,UNUSED,,14,,,,,,,,,
T12,,,VCCO_14,,,14,,,,,any******,,,,
